Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ",364,MB,PT,32,,$0.00 ,,0.00 ,,$200.04 ,,5.2 ,,$38.79 ,,$4.18 ,,,"$1,209 ",,"$16,069,716 ",,"414,287 ",,"80,331 ",,"3,845,139 ",,"1,267,381 ",,No,,,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ",364,VP,PT,244,,$13.29 ,,1.32 ,,$33.20 ,,3.3 ,,$10.05 ,,$0.21 ,,,"$5,684,059 ",,"$4,299,898 ",,"427,643 ",,"129,525 ",,"20,107,472 ",,"4,725,611 ",,No,,,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ",364,DR,PT,1,,$0.03 ,,0.00 ,,"$1,288.23 ",,3.4 ,,$377.80 ,,$141.42 ,,,$43 ,,"$471,493 ",,"1,248 ",,366 ,,"3,334 ",,"3,310 ",,No,,,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141 ",360,MB,PT,55,,$0.57 ,,0.09 ,,$119.41 ,,19.7 ,,$6.05 ,,$1.49 ,,,"$2,969,761 ",,"$31,287,421 ",,"5,167,682 ",,"262,016 ",,"20,982,953 ",,"2,738,153 ",,No,,,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141 ",360,DR,PT,37,,$2.32 ,,0.03 ,,$111.47 ,,1.6 ,,$70.67 ,,$10.78 ,,,"$282,009 ",,"$8,584,336 ",,"121,468 ",,"77,010 ",,"796,562 ",,"1,020,354 ",,No,,,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141 ",360,CB,PT,3,,$2.31 ,,0.09 ,,$130.70 ,,4.8 ,,$27.05 ,,$1.05 ,,,"$39,467 ",,"$461,224 ",,"17,052 ",,"3,529 ",,"437,738 ",,"101,520 ",,No,,,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141 ",360,VP,PT,265,,$4.78 ,,1.17 ,,$24.48 ,W,6.0 ,W,$4.09 ,,$0.12 ,,,"$2,422,637 ",,"$2,073,500 ",,"507,148 ",,"84,685 ",W,"18,007,551 ",,"3,626,418 ",,Yes,,,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",357,CR,PT,77,,$3.85 ,,0.05 ,,"$1,193.76 ",,14.1 ,,$84.86 ,,$3.37 ,,,"$2,827,487 ",,"$62,324,946 ",,"734,481 ",,"52,209 ",,"18,482,226 ",,"1,592,374 ",,No,,,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",357,LR,DO,72,,$1.37 ,,0.10 ,,$539.10 ,,39.5 ,,$13.66 ,,$1.83 ,,,"$15,745,273 ",,"$157,274,645 ",,"11,516,117 ",,"291,735 ",,"86,103,514 ",,"5,921,192 ",,No,,,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",357,CB,PT,36,,$2.22 ,,0.10 ,,$249.23 ,,10.9 ,,$22.79 ,,$1.43 ,,,"$2,277,037 ",,"$23,340,061 ",,"1,024,314 ",,"93,650 ",,"16,310,632 ",,"2,119,822 ",,No,,,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",357,SR,DO,2,,$0.00 ,,0.00 ,,$704.91 ,,39.2 ,,$17.98 ,,$19.76 ,,,$0 ,,"$6,686,079 ",,"371,932 ",,"9,485 ",,"338,406 ",,"72,772 ",,No,,,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",357,CB,DO,170,,$1.88 ,,0.06 ,,$267.01 ,,9.1 ,,$29.41 ,,$2.09 ,,,"$7,747,756 ",,"$121,240,267 ",,"4,122,060 ",,"454,064 ",,"57,972,920 ",,"8,282,130 ",,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,DR,PT,57,,$1.31 ,,0.02 ,,$144.71 ,,1.8 ,,$81.58 ,,$9.53 ,,,"$239,474 ",,"$14,908,285 ",,"182,743 ",,"103,024 ",,"1,564,910 ",,"1,485,120 ",,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,DR,DO,52,,$5.87 ,,0.05 ,,$227.78 ,,1.8 ,,$125.79 ,,$15.64 ,,,"$1,224,229 ",,"$26,221,335 ",,"208,456 ",,"115,117 ",,"1,676,850 ",,"1,575,941 ",,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,LR,DO,5,,$1.71 ,,0.09 ,,$295.82 ,,14.9 ,,$19.86 ,,$3.66 ,W,,"$793,335 ",,"$9,235,149 ",,"465,123 ",,"31,219 ",,"2,520,913 ",W,"468,737 ",,Yes,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,MB,DO,213,,$1.43 ,,0.10 ,,$154.77 ,,10.8 ,,$14.33 ,,$3.61 ,W,,"$15,947,387 ",,"$160,315,093 ",,"11,184,684 ",,"1,035,833 ",,"44,453,388 ",W,"12,404,462 ",,Yes,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,HR,DO,18,,$1.22 ,,0.08 ,,$306.11 ,,19.1 ,,$16.05 ,,$2.71 ,W,,"$2,962,423 ",,"$38,853,520 ",,"2,420,125 ",,"126,928 ",,"14,341,626 ",W,"2,389,074 ",,Yes,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673 ",356,RB,DO,11,,$0.78 ,,0.19 ,,$112.18 ,,27.8 ,,$4.04 ,,$1.57 ,,,"$1,103,877 ",,"$5,706,794 ",,"1,411,832 ",,"50,870 ",,"3,644,572 ",,"451,694 ",,No,,,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",351,DR,PT,53,,$1.20 ,,0.02 ,,$122.72 ,,1.7 ,,$73.44 ,,$9.61 ,,,"$166,530 ",,"$10,184,182 ",,"138,673 ",,"82,990 ",,"1,059,698 ",,"1,176,460 ",,No,,,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",351,VP,DO,176,,$4.09 ,,0.38 ,,$47.41 ,,4.4 ,,$10.79 ,,$0.35 ,,,"$1,321,152 ",,"$3,485,434 ",,"323,089 ",,"73,511 ",,"9,885,330 ",,"2,583,536 ",,No,,,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",351,DR,DO,14,,$1.57 ,,0.01 ,,$234.99 ,,1.9 ,,$126.56 ,,$16.78 ,,,"$38,131 ",,"$3,081,906 ",,"24,351 ",,"13,115 ",,"183,647 ",,"191,376 ",,No,,,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393 ",351,MB,DO,108,,$1.02 ,,0.06 ,,$170.01 ,,10.7 ,,$15.88 ,,$3.78 ,,,"$4,462,149 ",,"$69,288,838 ",,"4,363,241 ",,"407,561 ",,"18,329,599 ",,"4,558,354 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,DR,TX,7,,$2.17 ,,0.06 ,,$122.73 ,,3.3 ,,$37.75 ,,$3.54 ,,,"$14,580 ",,"$253,691 ",,"6,720 ",,"2,067 ",,"71,660 ",,"62,764 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,DR,PT,65,,$2.84 ,,0.09 ,,$51.46 ,,1.7 ,,$30.39 ,,$3.02 ,,,"$679,066 ",,"$7,261,844 ",,"238,918 ",,"141,117 ",,"2,403,573 ",,"2,923,315 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,LR,DO,6,,$1.25 ,,0.05 ,,$429.23 ,,18.7 ,,$23.01 ,,$6.76 ,,,"$681,652 ",,"$12,546,837 ",,"545,259 ",,"29,231 ",,"1,855,903 ",,"379,228 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,MB,DO,240,,$1.68 ,,0.12 ,,$102.08 ,,7.0 ,,$14.64 ,,$3.12 ,,,"$9,248,151 ",,"$80,410,625 ",,"5,490,677 ",,"787,758 ",,"25,767,635 ",,"10,322,130 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,FB,PT,2,,$1.31 ,,0.09 ,,$361.40 ,,24.5 ,,$14.75 ,,$19.97 ,,,"$199,632 ",,"$2,239,208 ",,"151,818 ",,"6,196 ",,"112,150 ",,"17,665 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,VP,PT,19,,$5.39 ,,0.49 ,,$59.08 ,,5.3 ,,$11.07 ,,$0.25 ,,,"$219,916 ",,"$451,947 ",,"40,814 ",,"7,650 ",,"1,804,296 ",,"330,650 ",,No,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666 ",349,DR,TN,10,,$1.75 ,,0.09 ,,$65.13 ,,3.5 ,,$18.79 ,,$2.01 ,,,"$30,451 ",,"$327,131 ",,"17,409 ",,"5,023 ",,"162,806 ",,"131,090 ",,No,,,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",348,DR,TX,9,,$1.38 ,,0.08 ,,$123.83 ,,6.8 ,,$18.20 ,,$7.65 ,,,"$119,501 ",,"$1,580,546 ",,"86,846 ",,"12,764 ",,"206,728 ",,"170,166 ",,No,,,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",348,CB,PT,87,,$0.83 ,,0.03 ,,$174.70 ,,5.7 ,,$30.54 ,,$2.80 ,,,"$285,168 ",,"$10,493,100 ",,"343,617 ",,"60,062 ",,"3,748,501 ",,"1,641,646 ",,No,,,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",348,DR,PT,81,,$0.26 ,,0.00 ,,$134.08 ,,2.3 ,,$58.86 ,,$15.44 ,,,"$36,872 ",,"$8,228,200 ",,"139,786 ",,"61,368 ",,"533,050 ",,"398,683 ",,No,,,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",348,MB,PT,171,,$0.00 ,,0.00 ,,$119.74 ,,13.6 ,,$8.79 ,,$7.41 ,,,"$5,970 ",,"$77,638,402 ",,"8,830,412 ",,"648,410 ",,"10,479,415 ",,"6,734,063 ",,No,,,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906 ",345,DR,DO,56,,$2.42 ,,0.03 ,,$113.34 ,,1.6 ,,$70.71 ,,$8.78 ,,,"$274,594 ",,"$8,032,878 ",,"113,603 ",,"70,873 ",,"914,777 ",,"1,063,093 ",,No,,,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906 ",345,MB,DO,266,,$1.07 ,,0.11 ,,$134.94 ,,13.5 ,,$10.02 ,,$3.03 ,,,"$10,408,383 ",,"$97,083,554 ",,"9,689,616 ",,"719,433 ",,"32,053,386 ",,"7,632,706 ",,No,,,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906 ",345,LR,DO,23,,$0.92 ,,0.05 ,,$306.97 ,,17.8 ,,$17.21 ,,$6.19 ,,,"$1,400,876 ",,"$26,084,769 ",,"1,516,008 ",,"84,976 ",,"4,213,652 ",,"981,361 ",,No,,,,,,
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,5012,50012,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,624,827 ",326,DR,DO,40,,$3.83 ,Q,0.07 ,,$113.17 ,Q,2.0 ,Q,$55.23 ,Q,$5.79 ,Q,,"$499,824 ",,"$7,199,867 ",,"130,356 ",Q,"63,622 ",Q,"1,243,596 ",Q,"1,032,288 ",Q,Yes,,,,,,
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,5012,50012,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,624,827 ",326,MB,DO,286,,$1.40 ,Q,0.12 ,,$158.50 ,Q,13.3 ,Q,$11.91 ,Q,$2.21 ,Q,,"$13,413,304 ",,"$114,295,395 ",,"9,600,324 ",Q,"721,124 ",Q,"51,828,597 ",Q,"9,442,905 ",Q,Yes,,,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770 ",320,DR,PT,91,,$0.70 ,,0.02 ,,$61.00 ,,1.4 ,,$44.63 ,,$7.94 ,,,"$159,518 ",,"$10,178,871 ",,"228,052 ",,"166,871 ",,"1,282,368 ",,"2,486,497 ",,No,,,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770 ",320,DR,TN,23,,$2.19 ,,0.08 ,,$128.56 ,,4.5 ,,$28.31 ,,$5.87 ,,,"$21,263 ",,"$275,502 ",,"9,731 ",,"2,143 ",,"46,962 ",,"54,055 ",,No,,,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770 ",320,MB,DO,177,,$0.03 ,,0.00 ,,$103.71 ,,14.9 ,,$6.98 ,,$1.29 ,,,"$304,650 ",,"$66,023,995 ",,"9,453,520 ",,"636,595 ",,"51,030,851 ",,"8,751,782 ",,No,,,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770 ",320,DR,TX,16,,$0.32 ,,0.01 ,,$88.78 ,,3.9 ,,$22.81 ,,$3.14 ,,,"$7,725 ",,"$557,292 ",,"24,434 ",,"6,277 ",,"177,234 ",,"171,703 ",,No,,,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770 ",320,MB,PT,13,,$0.10 ,,0.01 ,,$100.16 ,,10.0 ,,$9.99 ,,$1.89 ,,,"$39,992 ",,"$3,993,023 ",,"399,708 ",,"39,867 ",,"2,109,303 ",,"460,757 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,DR,DO,71,,$3.17 ,,0.03 ,,$120.09 ,,1.2 ,,$97.18 ,,$10.70 ,,,"$451,951 ",,"$13,837,409 ",,"142,386 ",,"115,226 ",,"1,293,025 ",,"1,692,302 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,LR,DO,28,,$1.22 ,,0.09 ,,$316.94 ,,22.4 ,,$14.17 ,,$2.82 ,,,"$3,161,931 ",,"$36,835,188 ",,"2,599,631 ",,"116,223 ",,"13,053,696 ",,"1,668,123 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,VP,DO,24,,$5.32 ,,0.13 ,,$164.91 ,,4.1 ,,$39.81 ,,$0.86 ,,,"$195,739 ",,"$1,465,679 ",,"36,820 ",,"8,888 ",,"1,709,766 ",,"474,207 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,CB,PT,22,,$19.23 ,,0.15 ,,$382.86 ,,3.0 ,,$127.02 ,,$8.56 ,,,"$745,999 ",,"$4,927,442 ",,"38,792 ",,"12,870 ",,"575,597 ",,"313,435 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,MB,PT,159,,$1.11 ,,0.06 ,,$149.33 ,,8.5 ,,$17.62 ,,$4.24 ,,,"$6,557,581 ",,"$104,085,603 ",,"5,906,006 ",,"697,003 ",,"24,554,987 ",,"9,165,587 ",,No,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ",304,SR,DO,0,,$0.00 ,,0.00 ,,$0.00 ,,0.0 ,,$0.00 ,,$0.00 ,,,$0 ,,$0 ,,0 ,,0 ,,0 ,,0 ,,No,,,,,,
San Mateo County Transit District,San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",303,DR,PT,74,,$2.08 ,,0.02 ,,$168.39 ,,1.3 ,,$133.36 ,,$16.37 ,,,"$225,943 ",,"$14,492,725 ",,"108,673 ",,"86,065 ",,"885,092 ",,"1,028,476 ",,No,,,,,,
San Mateo County Transit District,San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",303,MB,PT,58,,$1.30 ,,0.06 ,,$122.91 ,,5.5 ,,$22.41 ,,$4.31 ,W,,"$1,409,342 ",,"$24,225,123 ",,"1,081,037 ",,"197,094 ",,"5,617,892 ",W,"2,018,302 ",,Yes,,,,,,
Foothill Transit,West Covina,CA,9146,90146,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ",303,MB,PT,303,,$0.66 ,,0.04 ,,$120.92 ,,7.2 ,,$16.72 ,,$2.75 ,,,"$4,002,178 ",,"$101,964,981 ",,"6,099,989 ",,"843,237 ",,"37,019,946 ",,"11,952,097 ",,No,,,,,,
San Mateo County Transit District,San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",303,DR,TX,22,,$1.73 ,,0.02 ,,$221.44 ,,2.7 ,,$81.95 ,,$5.28 ,,,"$25,256 ",,"$1,198,453 ",,"14,624 ",,"5,412 ",,"226,874 ",,"200,967 ",,No,,,,,,
San Mateo County Transit District,San Carlos,CA,9009,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212 ",303,MB,DO,149,,$1.15 ,,0.04 ,,$287.00 ,,9.1 ,,$31.66 ,,$8.87 ,W,,"$3,954,175 ",,"$108,525,181 ",,"3,427,866 ",,"378,131 ",,"12,235,334 ",W,"3,848,389 ",,Yes,,,,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634 ",300,LR,DO,35,,$1.43 ,,0.08 ,,$367.66 ,,19.4 ,,$19.00 ,,$3.29 ,,,"$5,482,092 ",,"$72,985,881 ",,"3,841,437 ",,"198,514 ",,"22,188,765 ",,"3,542,376 ",,No,,,,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634 ",300,MB,DO,159,,$1.38 ,,0.06 ,,$167.04 ,,7.0 ,,$23.77 ,,$6.38 ,,,"$5,426,192 ",,"$93,397,155 ",,"3,928,709 ",,"559,128 ",,"14,647,340 ",,"6,348,800 ",,No,,,,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634 ",300,DR,DO,106,,$3.58 ,,0.05 ,,$155.61 ,,2.3 ,,$66.65 ,,$11.45 ,,,"$1,092,988 ",,"$20,353,430 ",,"305,377 ",,"130,801 ",,"1,777,912 ",,"1,961,619 ",,No,,,,,,
Metropolitan Transportation Commission,San Francisco,CA,,90094,"MPO, COG or Other Planning Agency",Full Reporter,"3,281,212 ",298,VP,PT,298,,$7.43 ,,1.15 ,,$22.57 ,W,3.5 ,W,$6.46 ,,$0.11 ,,,"$2,717,353 ",,"$2,361,793 ",,"365,827 ",,"104,645 ",W,"20,694,646 ",,"4,950,736 ",,Yes,,,,,,
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956 ",297,DR,DO,50,,$1.48 ,,0.02 ,,$104.10 ,,1.6 ,,$64.30 ,,$4.33 ,,,"$263,599 ",,"$11,417,017 ",,"177,547 ",,"109,674 ",,"2,634,608 ",,"1,831,338 ",,No,,,,,,
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956 ",297,VP,PT,41,,$5.46 ,,0.95 ,,$32.47 ,W,5.7 ,W,$5.73 ,,$0.14 ,,,"$416,768 ",,"$437,178 ",,"76,289 ",,"13,465 ",W,"3,051,299 ",,"684,998 ",,Yes,,,,,,
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956 ",297,DR,TX,3,,$1.27 ,,0.00 ,,"$1,538.87 ",,3.5 ,,$437.66 ,,$19.70 ,,,"$1,524 ",,"$524,754 ",,"1,199 ",,341 ,,"26,640 ",,"10,272 ",,No,,,,,,
Rhode Island Public Transit Authority,Providence,RI,1001,10001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,190,956 ",297,MB,DO,203,,$1.26 ,,0.10 ,,$140.36 ,,10.7 ,,$13.14 ,,$2.44 ,,,"$9,724,164 ",,"$101,326,565 ",,"7,712,509 ",,"721,900 ",,"41,486,114 ",,"9,366,747 ",,No,,,,,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 ",295,VP,PT,70,,$4.44 ,,0.69 ,,$39.08 ,W,6.1 ,W,$6.41 ,,$0.17 ,,,"$576,806 ",,"$832,705 ",,"129,919 ",,"21,308 ",W,"5,032,091 ",,"1,068,092 ",,Yes,,,,,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 ",295,DR,PT,49,,$3.66 ,,0.05 ,,$94.06 ,,1.3 ,,$69.75 ,,$7.61 ,,,"$488,717 ",,"$9,309,432 ",,"133,464 ",,"98,972 ",,"1,222,845 ",,"1,324,398 ",,No,,,,,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 ",295,DR,DO,34,,$3.66 ,,0.04 ,,$121.70 ,,1.4 ,,$84.26 ,,$8.63 ,,,"$294,826 ",,"$6,784,364 ",,"80,514 ",,"55,746 ",,"786,032 ",,"887,207 ",,No,,,,,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 ",295,CR,PT,20,,$1.13 ,,0.01 ,,$246.82 ,,2.4 ,,$101.63 ,,$6.65 ,,,"$343,009 ",,"$30,951,462 ",,"304,545 ",,"125,401 ",,"4,652,049 ",,"2,444,809 ",,No,,,,,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892 ",295,MB,DO,122,,$1.13 ,,0.07 ,,$122.80 ,,7.4 ,,$16.51 ,,$3.20 ,,,"$3,320,968 ",,"$48,733,755 ",,"2,952,079 ",,"396,857 ",,"15,208,346 ",,"5,383,909 ",,No,,,,,,
Capital District Transportation Authority,Albany,NY,2002,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,"594,962 ",293,VP,PT,36,,$6.94 ,,1.20 ,,$30.18 ,,5.2 ,,$5.78 ,,$0.18 ,,,"$437,969 ",,"$364,792 ",,"63,141 ",,"12,087 ",,"2,074,338 ",,"469,207 ",,No,,,,,,
Capital District Transportation Authority,Albany,NY,2002,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,"594,962 ",293,DR,TX,22,,$1.21 ,,0.04 ,,$58.45 ,,1.8 ,,$31.87 ,,$4.08 ,,,"$122,120 ",,"$3,224,429 ",,"101,164 ",,"55,168 ",,"789,540 ",,"992,504 ",W,Yes,,,,,,
