"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Town of Goshen","Goshen","NY","20954","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"2","MB","Bus","DO","2","2.0848",,"0.0442",,"104.2356",,"2.2074",,"47.22",,"0",,"8652",,"195963",,"4150",,"1880",,"0",,"22829",
"County of Niagara","Lockport","NY","20957","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"4","MB","Bus","PT","4","2.424",,"0.0387",,"72.0888",,"1.1517",,"62.5932",,"0",,"20648",,"533169",,"8518",,"7396",,"0",,"179278",
"Cortland County","Cortland","NY","20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"16","DR","Demand Response","PT","2","2.4841",,"0.0304",,"129.6061",,"1.5859",,"81.7261",,"0",,"780",,"25662",,"314",,"198",,"0",,"1881",
"Cortland County","Cortland","NY","20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"16","MB","Bus","PT","14","0.9043",,"0.0345",,"95.3132",,"3.6356",,"26.2169",,"0",,"66681",,"1933237",,"73740",,"20283",,"0",,"299708",
"Chautauqua County","Mayville","NY","20959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"25","DR","Demand Response","DO","5","0.8705",,"0.0335",,"58.293",,"2.2434",,"25.9846",,"0",,"36525",,"1090313",,"41960",,"18704",,"0",,"92455",
"Chautauqua County","Mayville","NY","20959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"25","MB","Bus","DO","20","1.7286",,"0.0828",,"46.9878",,"2.2509",,"20.8754",,"0",,"206117",,"2489177",,"119240",,"52975",,"0",,"753266",
"City of Oneonta","Oneonta","NY","20960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"14","MB","Bus","DO","13","0.472",,"0.0804",,"73.1308",,"12.4602",,"5.8691",,"0",,"160899",,"2000566",,"340862",,"27356",,"0",,"364942",
"City of Oneonta","Oneonta","NY","20960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"14","DR","Demand Response","DO","1","0.8316",,"0.0056",,"71.1709",,"0.4764",,"149.3856",,"0",,"1210",,"217356",,"1455",,"3054",,"0",,"9229",
"RTS Livingston","Rochester","NY","20962","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"13","MB","Bus","DO","13","0.4141",,"0.013",,"122.3017",,"3.8392",,"31.8557",,"0",,"26375",,"2028985",,"63693",,"16590",,"0",,"284844",
"Fulton County","Johnstown","NY","20964","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"1","MB","Bus","PT","1","1.8054",,"0.0666",,"77.9518",,"2.8773",,"27.0917",,"0",,"18124",,"271974",,"10039",,"3489",,"0",,"70150",
"RTS Ontario","Rochester","NY","20967","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"21","MB","Bus","DO","21","0.9062",,"0.0434",,"122.7717",,"5.8857",,"20.8595",,"0",,"109344",,"2516943",,"120662",,"20501",,"0",,"447088",
"County of Rensselaer, dba: Rensselaer County Planning Department","East Greenbush","NY","20968","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"1","CB","Commuter Bus","PT","1","1.662",,"0.0247",,"122.1603",,"1.8121",,"67.4138",,"0",,"5129",,"208039",,"3086",,"1703",,"0",,"45175",
"Town of Montgomery","Montgomery","NY","20973","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3","MB","Bus","DO","3","0.9894",,"0.0249",,"61.6823",,"1.5498",,"39.7989",,"0",,"8659",,"348320",,"8752",,"5647",,"0",,"58888",
"First Transit-Olean","Hudsonville","NY","20975","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"5","MB","Bus","DO","5","0",,"0",,"72.8057",,"5.2836",,"13.7796",,"0",,"0",,"783535",,"56862",,"10762",,"0",,"172470",
"Wyoming Transit Service","Warsaw","NY","20980","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"14","MB","Bus","DO","14","0.3905",,"0.0119",,"114.8881",,"3.5061",,"32.7681",,"0",,"19974",,"1675988",,"51147",,"14588",,"0",,"293585",
"Gloversville City Hall","Gloversville","NY","20981","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"6","MB","Bus","DO","4","0.8796",,"0.0402",,"115.0748",,"5.263",,"21.865",,"0",,"34911",,"867779",,"39688",,"7541",,"0",,"142250",
"Gloversville City Hall","Gloversville","NY","20981","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"6","DR","Demand Response","DO","2","3.9468",,"0.0459",,"116.6151",,"1.3562",,"85.984",,"0",,"4673",,"101805",,"1184",,"873",,"0",,"4634",
"Wayne Area Transportation Service","Lyons","NY","20983","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"34","MB","Bus","DO","34","0.33",,"0.0096",,"105.1966",,"3.0463",,"34.5331",,"0",,"25684",,"2688088",,"77841",,"25553",,"0",,"603675",
"City of Port Jervis","Port Jervis","NY","20988","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"2","DR","Demand Response","DO","2","1.0826",,"0.0741",,"87.5287",,"5.9928",,"14.6057",,"0",,"14371",,"193876",,"13274",,"2215",,"0",,"28064",
"St Lawrence County","Canton","NY","20991","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"24","MB","Bus","PT","24","1.162",,"0.0405",,"65.2583",,"2.2737",,"28.7012",,"0",,"113577",,"2805258",,"97740",,"42987",,"0",,"945273",
"Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15","DR","Demand Response","PT","6","2.4392",,"0.2396",,"98.6398",,"9.6886",,"10.181",,"0",,"76048",,"317423",,"31178",,"3218",,"0",,"114862",
"Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15","MB","Bus","PT","7","4.8417",,"0.1411",,"95.3321",,"2.778",,"34.3162",,"0",,"98901",,"700977",,"20427",,"7353",,"0",,"189155",
"Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15","CB","Commuter Bus","PT","2","2.2986",,"0.121",,"123.6071",,"6.5075",,"18.9945",,"0",,"36812",,"304197",,"16015",,"2461",,"0",,"132671",
"Otsego County","Cooperstown","NY","20998","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"8","MB","Bus","PT","8","1.0531",,"0.0408",,"88.4597",,"3.431",,"25.7824",,"0",,"33810",,"827717",,"32104",,"9357",,"0",,"195407",
"Columbia County-NY","Hudson","NY","20999","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"4","MB","Bus","PT","2","1.1633",,"0.1692",,"44.9153",,"6.5344",,"6.8736",,"0",,"26385",,"155901",,"22681",,"3471",,"0",,"42324",
"Columbia County-NY","Hudson","NY","20999","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"4","CB","Commuter Bus","PT","2","2.9837",,"0.0757",,"133.7263",,"3.3947",,"39.3924",,"0",,"23428",,"309309",,"7852",,"2313",,"0",,"83971",
"Yates County","Penn Yan","NY","21000","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"8","MB","Bus","DO","8","1",,"0.0392",,"102.1381",,"4.0056",,"25.499",,"0",,"25872",,"659710",,"25872",,"6459",,"0",,"161004",
"Seneca Nation of Indians","Salamanca","NY","22929","Tribe","Reduced Reporter","2022","00036","New York Non-UZA","3425270","2","MB","Bus","PT","2","0",,"0",,"120.2939",,"2.2792",,"52.7791",,"0",,"0",,"885844",,"16784",,"7364",,"0",,"229952",
"New York City Economic Development Corporation","New York","NY","22930","Private-Non-Profit Corporation","Full Reporter","2022","63217","New York--Jersey City--Newark, NY--NJ","19426449","28","FB","Ferryboat","PT","24","2.557",,"0.2172",,"724.2192",,"61.5114",,"11.7737",,"2.635",,"13739917",,"63264890",,"5373392",,"87356",,"24009812",,"942849",
"New York City Economic Development Corporation","New York","NY","22930","Private-Non-Profit Corporation","Full Reporter","2022","63217","New York--Jersey City--Newark, NY--NJ","19426449","28","MB","Bus","PT","4","0",,"0",,"54.8116",,"4.1509",,"13.2049",,"5.7752",,"0",,"1066688",,"80780",,"19461",,"184702",,"112170",
"Kanawha Valley Regional Transportation Authority","Charleston","WV","30001","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","15481","Charleston, WV","140958","44","DR","Demand Response","DO","10","1.8728",,"0.0361",,"88.751",,"1.7094",,"51.9182",,"6.0059",,"60601",,"1679968",,"32358",,"18929",,"279718",,"321269",
"Kanawha Valley Regional Transportation Authority","Charleston","WV","30001","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","15481","Charleston, WV","140958","44","MB","Bus","DO","34","1.0972",,"0.0978",,"92.0914",,"8.2059",,"11.2226",,"2.2726",,"1079859",,"11044895",,"984162",,"119934",,"4859998",,"2087459",
"The Tri-State Transit Authority","Hunnington","WV","30002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","40753","Huntington, WV--KY--OH","200157","33","MB","Bus","DO","23","1.3068",,"0.1454",,"104.7592",,"11.6524",,"8.9904",,"1.5884",,"820366",,"5643900",,"627771",,"53875",,"3553184",,"880710",
"The Tri-State Transit Authority","Hunnington","WV","30002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","40753","Huntington, WV--KY--OH","200157","33","DR","Demand Response","DO","10","7.6377",,"0.3477",,"59.7799",,"2.7216",,"21.9646",,"3.0549",,"341283",,"981467",,"44684",,"16418",,"321278",,"302737",
"Mid-Ohio Valley Transit Authority, dba: Easy Rider","Parkersburg","WV","30003","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2022","67672","Parkersburg, WV--OH","62500","13","DR","Demand Response","DO","1","1.1814",,"0.0309",,"80.6103",,"2.1088",,"38.2249",,"0",,"5242",,"169604",,"4437",,"2104",,"0",,"21291",
"Mid-Ohio Valley Transit Authority, dba: Easy Rider","Parkersburg","WV","30003","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2022","67672","Parkersburg, WV--OH","62500","13","MB","Bus","DO","12","0.5325",,"0.0386",,"83.4011",,"6.0502",,"13.7848",,"0",,"113896",,"2948561",,"213900",,"35354",,"0",,"462605",
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","74746","Richmond, VA","1059150","236","VP","Vanpool","PT","56","6.4669",,"0.3767",,"79.9157",,"4.655",,"17.1679",,"0.2617",,"753688",,"2000849",,"116546",,"25037",,"7644717",,"1393241",
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","74746","Richmond, VA","1059150","236","MB","Bus","DO","113","0.1394",,"0.0196",,"119.2623",,"16.735",,"7.1265",,"1.6228",,"921541",,"47109424",,"6610425",,"395007",,"29029140",,"4294608",
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","74746","Richmond, VA","1059150","236","RB","Bus Rapid Transit","DO","9","0.3148",,"0.0975",,"113.8402",,"35.2497",,"3.2295",,"1.1589",,"496215",,"5090137",,"1576119",,"44713",,"4392358",,"418327",
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","74746","Richmond, VA","1059150","236","MB","Bus","PT","18","0",,"0",,"42.5765",,"1.9953",,"21.3384",,"2.0517","W","0",,"54285",,"2544",,"1275",,"26458","W","4725",
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","74746","Richmond, VA","1059150","236","DR","Demand Response","PT","40","0",,"0",,"60.3974",,"1.9987",,"30.2186",,"2.9702",,"0",,"7702484",,"254892",,"127530",,"2593251",,"2296429",
"Greater Roanoke Transit Company","Roanoke","VA","30007","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","75421","Roanoke, VA","217312","41","DR","Demand Response","PT","17","3.2041",,"0.0706",,"90.6831",,"1.9991",,"45.363",,"4.8265",,"202908",,"2872749",,"63328",,"31679",,"595207",,"551117",
"Greater Roanoke Transit Company","Roanoke","VA","30007","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2022","75421","Roanoke, VA","217312","41","MB","Bus","DO","24","0.9813",,"0.1234",,"73.0785",,"9.1921",,"7.9502",,"1.395",,"1051109",,"8515840",,"1071150",,"116530",,"6104437",,"1668204",
"Greater Lynchburg Transit Company","Lynchburg","VA","30008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","52201","Lynchburg, VA","125596","18","MB","Bus","DO","14","1.0147",,"0.0631",,"109.368",,"6.8029",,"16.0767",,"3.4316",,"438039",,"6940053",,"431684",,"63456",,"2022400",,"949794",
"Greater Lynchburg Transit Company","Lynchburg","VA","30008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","52201","Lynchburg, VA","125596","18","DR","Demand Response","DO","4","2.1484",,"0.0347",,"85.1403",,"1.3764",,"61.8565",,"3.3714","Q","32099",,"924198",,"14941",,"10855",,"274126","Q","118967",
"City of Petersburg , dba: Petersburg Area Transit","Petersburg","VA","30009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2022","74746","Richmond, VA","1059150","17","MB","Bus","DO","13","0",,"0",,"91.6917",,"9.2626",,"9.8992",,"0",,"0",,"3938343",,"397846",,"42952",,"0",,"513473",
"City of Petersburg , dba: Petersburg Area Transit","Petersburg","VA","30009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2022","74746","Richmond, VA","1059150","17","DR","Demand Response","DO","4","0",,"0",,"44.6495",,"1.4398",,"31.0114",,"0",,"0",,"193511",,"6240",,"4334",,"0",,"40819",
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","01495","Allentown--Bethlehem, PA--NJ","621703","118","MB","Bus","DO","71","0.4716",,"0.0399",,"130.1975",,"11.0088",,"11.8266",,"2.3701",,"1304364",,"32711342",,"2765903",,"251244",,"13801856",,"3256828",
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","01495","Allentown--Bethlehem, PA--NJ","621703","118","DR","Demand Response","PT","47","17.2114",,"0.3817",,"106.1241",,"2.3537",,"45.0891",,"4.1445",,"3158173",,"8273542",,"183493",,"77961",,"1996266",,"1377252",
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","01792","Altoona, PA","74426","33","DR","Demand Response","PT","12","3.4048",,"0.1933",,"47.9305",,"2.7213",,"17.6128",,"3.7623",,"17058",,"88240",,"5010",,"1841",,"23454",,"23540",
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","01792","Altoona, PA","74426","33","DR","Demand Response","DO","1","1.3816",,"0.0455",,"256.6667",,"8.4444",,"30.3947",,"17.3684",,"105",,"2310",,"76",,"9",,"133",,"76",
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","01792","Altoona, PA","74426","33","MB","Bus","DO","20","1.4413",,"0.1105",,"122.9923",,"9.429",,"13.0441",,"2.7992","W","620683",,"5617427",,"430649",,"45673",,"2006824","W","540887",
"Cambria County Transit Authority","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","43291","Johnstown, PA","61521","46","MB","Bus","DO","32","0.9295",,"0.0677",,"117.8667",,"8.5812",,"13.7355",,"3.9921",,"631936",,"9338107",,"679852",,"79226",,"2339158",,"1040602",
"Cambria County Transit Authority","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","43291","Johnstown, PA","61521","46","DR","Demand Response","DO","14","16.3516",,"0.358",,"96.3237",,"2.1088",,"45.6762",,"6.6263",,"520554",,"1454102",,"31835",,"15096",,"219444",,"265983",
"Cambria County Transit Authority","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","43291","Johnstown, PA","61521","46","IP","Inclined Plane","DO","0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"395398",,"0",,"0",,"0",,"0",
"Erie Metropolitan Transit Authority","Erie","PA","30013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","27766","Erie, PA","187820","78","MB","Bus","DO","45","1.6302",,"0.1033",,"131.5051",,"8.329",,"15.7888",,"4.784",,"1616678",,"15657529",,"991684",,"119064",,"3272884",,"1656229",
"Erie Metropolitan Transit Authority","Erie","PA","30013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","27766","Erie, PA","187820","78","DR","Demand Response","DO","33","17.0868",,"0.51",,"95.6365",,"2.8546",,"33.5027",,"4.4598",,"2406740",,"4718991",,"140854",,"49343",,"1058120",,"705412",
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,"PA","30014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","37081","Harrisburg, PA","490859","115","DR","Demand Response","DO","30","11.9556",,"0.2999",,"106.8548",,"2.6803",,"39.8669",,"4.3137",,"870201",,"2901749",,"72786",,"27156",,"672683",,"512753",
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,"PA","30014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","37081","Harrisburg, PA","490859","115","DR","Demand Response","PT","18","0.7555",,"0.0329",,"58.678",,"2.5523",,"22.9899",,"2.6421",,"48485",,"1475400",,"64176",,"25144",,"558411",,"449412",
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,"PA","30014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","37081","Harrisburg, PA","490859","115","MB","Bus","PT","2","11.5241",,"0.3646",,"71.0498",,"2.248",,"31.6061",,"4.8453",,"131110",,"359583",,"11377",,"5061",,"74213",,"67005",
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,"PA","30014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","37081","Harrisburg, PA","490859","115","MB","Bus","DO","65","1.3462",,"0.0868",,"123.6026",,"7.9671",,"15.5142",,"2.7703",,"1348634",,"15542033",,"1001794",,"125742",,"5610308",,"1787823",
"Luzerne County Transportation Authority","Kingston","PA","30015","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","62","MB","Bus","DO","32","1.2183",,"0.0806",,"115.4446",,"7.6414",,"15.1077",,"4.5735",,"817746",,"10140424",,"671209",,"87838",,"2217204",,"1203261",
"Luzerne County Transportation Authority","Kingston","PA","30015","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","62","DR","Demand Response","DO","30","3.5036",,"0.0915",,"109.5895",,"2.8624",,"38.286",,"4.8094",,"371033",,"4054484",,"105900",,"36997",,"843038",,"661377",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","MB","Bus","PT","3","0.9068",,"0.0355",,"106.0739",,"4.1512",,"25.5527",,"3.7947",,"29430",,"829286",,"32454",,"7818",,"218537",,"127940",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","DR","Demand Response","PT","234","3.8022",,"0.0586",,"85.6362",,"1.3208",,"64.8357",,"9.0797",,"2716787",,"46327284",,"714534",,"540978",,"5102281",,"5709370",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","SR","Streetcar Rail","DO","92","1.17",,"0.1605",,"320.9891",,"44.0238",,"7.2913",,"2.8697",,"12249760",,"76339875",,"10470047",,"237827",,"26601998",,"2026697",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","MB","Bus","DO","1089","1.1133",,"0.1466",,"178.5813",,"23.5174",,"7.5936",,"2.6548",,"101489746",,"692241550",,"91161232",,"3876338",,"260749719",,"39188981",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","HR","Heavy Rail","DO","238","1.0217",,"0.2527",,"207.0728",,"51.2192",,"4.0429",,"0.9656",,"53638079",,"212247719",,"52499263",,"1024991",,"219803311",,"15691660",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","TB","Trolleybus","DO","29","1.028",,"0.2072",,"177.2267",,"35.7241",,"4.961",,"2.4595",,"3095802",,"14939677",,"3011436",,"84297",,"6074373",,"701398",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69076","Philadelphia, PA--NJ--DE--MD","5696125","1962","CR","Commuter Rail","DO","277","3.4493",,"0.1822",,"414.0853",,"21.8677",,"18.936",,"1.4424",,"56363232",,"309426507",,"16340688",,"747253",,"214528260",,"14712833",
"Port Authority of Allegheny County","Pittsburgh","PA","30022","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","823","DR","Demand Response","PT","208","10.3987",,"0.2495",,"76.6901",,"1.8403",,"41.6718",,"5.4363",,"8795926",,"35248687",,"845865",,"459625",,"6483942",,"6233332",
"Port Authority of Allegheny County","Pittsburgh","PA","30022","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","823","LR","Light Rail","DO","52","1.4807",,"0.0442",,"618.7969",,"18.4586",,"33.5235",,"8.1041",,"3250897",,"73603419",,"2195579",,"118946",,"9082214",,"1487181",
"Port Authority of Allegheny County","Pittsburgh","PA","30022","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","823","MB","Bus","DO","561","1.4917",,"0.1258",,"234.1735",,"19.7478",,"11.8582",,"3.2109",,"43180175",,"343248708",,"28946085",,"1465788",,"106901837",,"18748966",
"Port Authority of Allegheny County","Pittsburgh","PA","30022","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","823","IP","Inclined Plane","DO","2","1.1788",,"0.2711",,"248.0047",,"57.043",,"4.3477",,"37.2057",,"401960",,"1482572",,"341003",,"5978",,"39848",,"13970",
"Beaver County Transit Authority","Rochester","PA","30023","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","30","MB","Bus","DO","13","1.5986",,"0.0991",,"128.8005",,"7.9865",,"16.1273",,"1.3523",,"513191",,"5177392",,"321032",,"40197",,"3828467",,"603078",
"Beaver County Transit Authority","Rochester","PA","30023","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","69697","Pittsburgh, PA","1745039","30","DR","Demand Response","DO","17","11.1234",,"0.3141",,"96.6364",,"2.7286",,"35.4162",,"3.2492",,"722633",,"2300815",,"64965",,"23809",,"708118",,"395837",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","72","MB","Bus","DO","26","1.575",,"0.099",,"108.7949",,"6.8375",,"15.9115",,"3.4757",,"845102",,"8537676",,"536573",,"78475",,"2456386",,"874420",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","72","MB","Bus","PT","5","1.11",,"0.0867",,"30.4244",,"2.3761",,"12.8043",,"2.797",,"31977",,"368866",,"28808",,"12124",,"131880",,"175812",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","72","DR","Demand Response","PT","15","0.7865",,"0.0681",,"19.927",,"1.7245",,"11.5552",,"1.2138",,"10437",,"153338",,"13270",,"7695",,"126329",,"83594",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80227","Scranton, PA","366713","72","DR","Demand Response","DO","26","0.5908",,"0.0102",,"127.5461",,"2.2121",,"57.6572",,"9.2252",,"50873",,"4964859",,"86110",,"38926",,"538187",,"589507",
"City of Williamsport, dba: River Valley Transit","Williamsport","PA","30026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","95455","Williamsport, PA","55344","31","DR","Demand Response","PT","4","3.9993",,"0.1563",,"41.382",,"1.6172",,"25.5891",,"1.5318",,"22300",,"142685",,"5576",,"3448",,"93150",,"96785",
"City of Williamsport, dba: River Valley Transit","Williamsport","PA","30026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","95455","Williamsport, PA","55344","31","MB","Bus","DO","27","0.847",,"0.0705",,"160.8359",,"13.3835",,"12.0175",,"2.217",,"582910",,"8270825",,"688234",,"51424",,"3730579",,"855910",
"Central Pennsylvania Transportation Authority","York","PA","30027","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","97750","York, PA","238549","352","DR","Demand Response","PT","145","11.338",,"0.4296",,"51.4278",,"1.9487",,"26.3915",,"2.2901",,"2341613",,"5450574",,"206528",,"105985",,"2380073",,"2062334",
"Central Pennsylvania Transportation Authority","York","PA","30027","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","97750","York, PA","238549","352","MB","Bus","PT","5","1.5602",,"0.0604",,"89.3847",,"3.4632",,"25.8098",,"8.2723",,"37596",,"621939",,"24097",,"6958",,"75183",,"98172",
"Central Pennsylvania Transportation Authority","York","PA","30027","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","97750","York, PA","238549","352","DR","Demand Response","TX","3","41.0655",,"0.3217",,"90.3037",,"0.7073",,"127.6707",,"2.6985",,"23818",,"74049",,"580",,"820",,"27441",,"26241",
"Central Pennsylvania Transportation Authority","York","PA","30027","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","97750","York, PA","238549","352","DR","Demand Response","DO","158","35.0359",,"1.1053",,"65.5775",,"2.0689",,"31.6975",,"2.9894",,"11719515",,"10602828",,"334500",,"161684",,"3546766",,"3256363",
"Central Pennsylvania Transportation Authority","York","PA","30027","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","97750","York, PA","238549","352","CB","Commuter Bus","PT","2","1.8257",,"0.0196",,"168.7171",,"1.8077",,"93.3329",,"4.9428",,"2660",,"135986",,"1457",,"806",,"27512",,"21884",
