"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Jackson Transit Authority","Jackson","TN","40057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","42265","Jackson, TN","72809","13","MB","Bus","DO","7","0.7999",,"0.0979",,"94.1749",,"11.5249",,"8.1714",,"1.422","W","236749",,"2418601",,"295983",,"25682",,"1700801","W","410282",
"City of Rome","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","76204","Rome, GA","60403","12","DR","Demand Response","DO","6","9.3498",,"0.2559",,"97.467",,"2.6672",,"36.5434",,"7.5759",,"220572",,"862096",,"23591",,"8845",,"113795",,"102493",
"City of Rome","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","76204","Rome, GA","60403","12","MB","Bus","DO","6","0",,"0",,"122.9099",,"12.0807",,"10.174",,"1.736",,,,"2108396",,"207233",,"17154",,"1214500",,"271310",
"City of Hattiesburg, dba: Hub City Transit","Hattiesburg","MS","40060","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","37594","Hattiesburg, MS","80821","10","DR","Demand Response","DO","3","0.5643",,"0.0068",,"73.7712",,"0.8906",,"82.8318",,"0",,"1553",,"227953",,"2752",,"3090",,,,"12951",
"City of Hattiesburg, dba: Hub City Transit","Hattiesburg","MS","40060","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","37594","Hattiesburg, MS","80821","10","MB","Bus","DO","7","3.1038",,"0.0678",,"166.2015",,"3.632",,"45.7604",,"0",,"145996",,"2152476",,"47038",,"12951",,,,"296705",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","91","DR","Demand Response","DO","33","3.2721",,"0.0596",,"102.5492",,"1.8672",,"54.9215",,"3.7438",,"288132",,"4836221",,"88057",,"47160",,"1291796",,"657042",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","91","MB","Bus","DO","35","0.6453",,"0.0928",,"115.0844",,"16.5464",,"6.9552",,"1.1815",,"1168634",,"12596448",,"1811074",,"109454",,"10661214",,"2110179",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","91","VP","Vanpool","PT","23","6.0881",,"0.5083",,"54.9868",,"4.5906",,"11.978",,"0.2996",,"234320",,"461009",,"38488",,"8384",,"1538786",,"424471",
"East Alabama Regional Planning and Development Commission, dba: Areawide Community Transportation System","Anniston","AL","40064","MPO, COG or Other Planning Agency","Reduced Reporter","2024","02629","Anniston--Oxford, AL","78302","28","DR","Demand Response","PT","24","3.3998",,"0.143",,"61.3113",,"2.5783",,"23.7798",,"0",,"209090",,"1462459",,"61500",,"23853",,,,"282375",
"East Alabama Regional Planning and Development Commission, dba: Areawide Community Transportation System","Anniston","AL","40064","MPO, COG or Other Planning Agency","Reduced Reporter","2024","02629","Anniston--Oxford, AL","78302","28","MB","Bus","PT","4","0.3516",,"0.0331",,"66.5291",,"6.2586",,"10.63",,"0",,"29306",,"885901",,"83340",,"13316",,,,"182837",
"Northwest Alabama Council of Local Governments, dba: NACOLG Transit","Muscle Shoals","AL","40068","MPO, COG or Other Planning Agency","Reduced Reporter","2024","29953","Florence, AL","78925","14","DR","Demand Response","DO","14","3.2626",,"0.0667",,"57.5628",,"1.1771",,"48.9026",,"0",,"87069",,"1305064",,"26687",,"22672",,,,"210187",
"City of Huntsville, Alabama, dba: Huntsville Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","40780","Huntsville, AL","329066","36","DR","Demand Response","DO","19","1.8004",,"0.0654",,"73.6766",,"2.6775",,"27.517",,"5.5956",,"189710",,"2899470",,"105370",,"39354",,"518166",,"558562",
"City of Huntsville, Alabama, dba: Huntsville Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","40780","Huntsville, AL","329066","36","MB","Bus","DO","17","0.4759",,"0.0767",,"83.006",,"13.3779",,"6.2047",,"0.989",,"312048",,"4068458",,"655705",,"49014",,"4113865",,"727573",
"Lee-Russell Council of Governments, dba: Lee-Russell Public Transit and Phenix City Express","Opelika","AL","40073","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04033","Auburn, AL","100842","20","DR","Demand Response","DO","16","0",,"0",,"72.9835",,"2.2439",,"32.5251",,"0",,,,"2037407",,"62641",,"27916",,,,"455981",
"Lee-Russell Council of Governments, dba: Lee-Russell Public Transit and Phenix City Express","Opelika","AL","40073","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04033","Auburn, AL","100842","20","MB","Bus","DO","4","0",,"0",,"36.3452",,"5.7472",,"6.324",,"0",,,,"152541",,"24121",,"4197",,,,"67611",
"Pasco County Board of County Commissioners, dba: GoPasco","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","37","DR","Demand Response","DO","16","2.4395",,"0.0462",,"103.2298",,"1.9531",,"52.8537",,"6.3249",,"94937",,"2056854",,"38916",,"19925",,"325198",,"318207",
"Pasco County Board of County Commissioners, dba: GoPasco","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","37","MB","Bus","DO","21","0.9109",,"0.063",,"108.9874",,"7.5419",,"14.4508",,"2.5929",,"596319",,"9459994",,"654633",,"86799",,"3648385",,"1448859",
"South Florida Regional Transportation Authority, dba: Tri-Rail","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","46","CR","Commuter Rail","PT","43","3.4093",,"0.1161",,"977.9074",,"33.3121",,"29.3559",,"1.119",,"14659308",,"126224376",,"4299794",,"129076",,"112800856",,"3649278",
"South Florida Regional Transportation Authority, dba: Tri-Rail","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","46","MB","Bus","PT","3","0",,"0",,"95.5569",,"29.4055",,"3.2496",,"1.0436",,,,"1411471",,"434349",,"14771",,"1352474",,"131355",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","76","CB","Commuter Bus","PT","9","0.7235",,"0.0146",,"185.8604",,"3.7399",,"49.696",,"3.3465","W","15545",,"1067768",,"21486",,"5745",,"319067","W","159062",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","76","DR","Demand Response","PT","14","0.5454",,"0.0062",,"146.6673",,"1.6631",,"88.1875",,"11.1323",,"30178",,"4879327",,"55329",,"33268",,"438304",,"412873",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","76","MB","Bus","PT","53","1.4778",,"0.0509",,"139.9075",,"4.8216",,"29.0167",,"6.0972","W","1506143",,"29574060",,"1019210",,"211383",,"4850420","W","3126415",
"City of Kingsport, dba: Kingsport Area Transit Service","Kingsport","TN","40080","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","45235","Kingsport, TN--VA","98411","11","DR","Demand Response","DO","6","1.7977",,"0.0303",,"113.8761",,"1.9192",,"59.334",,"0",,"29051",,"958837",,"16160",,"8420",,,,"109954",
"City of Kingsport, dba: Kingsport Area Transit Service","Kingsport","TN","40080","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","45235","Kingsport, TN--VA","98411","11","MB","Bus","DO","5","0.4647",,"0.0363",,"94.25",,"7.3663",,"12.7947",,"0",,"30929",,"851643",,"66562",,"9036",,,,"137085",
"City of Anderson","Anderson","SC","40081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","6","MB","Bus","DO","6","0.2267",,"0.0461",,"68.1211",,"13.8555",,"4.9165",,"0",,"52541",,"1139530",,"231775",,"16728",,,,"321341",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","20","DR","Demand Response","DO","7","0",,"0",,"127.2755",,"4.3994",,"28.9299",,"2.8165",,,,"458828",,"15860",,"3605",,"162910",,"61521",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","20","DR","Demand Response","PT","4","0.2132",,"0.0033",,"108.3663",,"1.6548",,"65.4854",,"10.4635",,"3087",,"948097",,"14478",,"8749",,"90610",,"120540",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","20","MB","Bus","PT","9","0.186",,"0.0044",,"92.2602",,"2.1712",,"42.4928",,"7.7598",,"11137",,"2544721",,"59886",,"27582",,"327936",,"435592",
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79093","San Juan, PR","1844410","107","DR","Demand Response","DO","28","0.9833",,"0.014",,"85.6309",,"1.219",,"70.247",,"3.4802",,"68434",,"4888837",,"69595",,"57092",,"1404758",,"543466",
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79093","San Juan, PR","1844410","107","MB","Bus","DO","79","0.1677",,"0.0124",,"151.8625",,"11.2461",,"13.5036",,"3.3979",,"504855",,"40648275",,"3010184",,"267665",,"11962744",,"2311841",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","25228","Durham, NC","396118","110","DR","Demand Response","PT","36","0",,"0",,"108.8281",,"2.1054",,"51.6909",,"6.2732",,,,"6800562",,"131562",,"62489",,"1084070",,"926418",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","25228","Durham, NC","396118","110","DR","Demand Response","TN","34","0",,"0",,"124.1874",,"3.877",,"32.0321",,"3.9974",,,,"994244",,"31039",,"8006",,"248724",,"242758",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","25228","Durham, NC","396118","110","MB","Bus","PT","40","0",,"0",,"144.0096",,"30.0666",,"4.7897",,"1.327",,,,"30545874",,"6377416",,"212110",,"23018136",,"2754767",
"City of Clarksville, dba: Clarksville Transit System","Clarksville","TN","40092","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","17317","Clarksville, TN--KY","200947","29","DR","Demand Response","DO","12","2.35",,"0.0446",,"90.4865",,"1.7163",,"52.7234",,"0",,"108483",,"2433816",,"46162",,"26897",,,,"427444",
"City of Clarksville, dba: Clarksville Transit System","Clarksville","TN","40092","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","17317","Clarksville, TN--KY","200947","29","MB","Bus","DO","17","1.1054",,"0.0876",,"101.978",,"8.0792",,"12.6222",,"0",,"560060",,"6395144",,"506657",,"62711",,,,"1023413",
"City of Greensboro, dba: Greensboro Transit Agency","Greensboro","NC","40093","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","35164","Greensboro, NC","338928","82","DR","Demand Response","PT","41","1.8396",,"0.0304",,"114.4276",,"1.8901",,"60.5396",,"7.6952",,"327038",,"10762371",,"177774",,"94054",,"1398591",,"1410046",
"City of Greensboro, dba: Greensboro Transit Agency","Greensboro","NC","40093","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","35164","Greensboro, NC","338928","82","MB","Bus","PT","41","0.9",,"0.0917",,"122.9732",,"12.5286",,"9.8154",,"2.5151",,"2127333",,"23199386",,"2363573",,"188654",,"9224184",,"2463885",
"Alternativa de Transporte Integrado, dba: Autoridad de Transporte Integrado","San Juan","PR","40094","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","57","DR","Demand Response","PT","1","0.622",,"0.029",,"124.3333",,"5.8056",,"21.4163",,"11.626",,"130",,"4476",,"209",,"36",,"385",,"371",
"Alternativa de Transporte Integrado, dba: Autoridad de Transporte Integrado","San Juan","PR","40094","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","57","HR","Heavy Rail","PT","32","0.8548","W","0.0406",,"762.1961",,"36.2104","W","21.0491","W","4.7337","W","2828897",,"69659388",,"3309381","W","91393",,"14715729","W","1680283",
"Alternativa de Transporte Integrado, dba: Autoridad de Transporte Integrado","San Juan","PR","40094","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","57","MB","Bus","PT","24","0.2168",,"0.0261",,"128.6895",,"15.5094",,"8.2975",,"2.3373","W","291861",,"11172306",,"1346463",,"86816",,"4779944","W","1053812",
"City of Greenville, dba: Greenville Area Transit","Greenville","NC","40095","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","12","DR","Demand Response","PT","6","0",,"0",,"58.3409",,"3.1192",,"18.7037",,"0",,"0",,"451675",,"24149",,"7742",,,,"131185",
"City of Greenville, dba: Greenville Area Transit","Greenville","NC","40095","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","12","MB","Bus","DO","6","0.0268",,"0.0053",,"106.0809","W","20.8319","W","5.0922",,"0",,"8370",,"1589092",,"312062",,"14980","W",,,"214376",
"City of Rocky Mount, dba: Tar River Transit","Rocky Mount","NC","40096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75988","Rocky Mount, NC","63297","26","DR","Demand Response","PT","19","20.7754",,"0.7899",,"52.3853",,"1.9918",,"26.3002",,"0",,"2256621",,"2856727",,"108620",,"54533",,,,"1232343",
"City of Rocky Mount, dba: Tar River Transit","Rocky Mount","NC","40096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75988","Rocky Mount, NC","63297","26","MB","Bus","PT","7","0.8132",,"0.1837",,"43.0831",,"9.73",,"4.4279",,"0",,"163372",,"889537",,"200895",,"20647",,,,"317950",
"Council on Aging of St. Lucie, Inc., dba: Community Transit","Port Saint Lucie","FL","40097","Private-Non-Profit Corporation","Reduced Reporter","2024","71479","Port St. Lucie, FL","437745","10","DR","Demand Response","DO","10","0",,"0",,"74.2306",,"2.2966",,"32.3223",,"0",,"0",,"972124",,"30076",,"13096",,,,"177803",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85708","Sumter, SC","68825","43","CB","Commuter Bus","DO","1","2.9044",,"0.0593",,"99.9621",,"2.0398",,"49.0047",,"1.3765",,"12341",,"208221",,"4249",,"2083",,"151264",,"56818",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85708","Sumter, SC","68825","43","DR","Demand Response","DO","32","2.3577",,"0.0731",,"71.2901",,"2.2102",,"32.2545",,"3.7637",,"63033",,"862325",,"26735",,"12096",,"229119",,"185781",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85708","Sumter, SC","68825","43","MB","Bus","DO","10","0.7493",,"0.0248",,"116.9706",,"3.8735",,"30.1978",,"6.4114",,"44275",,"1784270",,"59086",,"15254",,"278295",,"243066",
"City of Spartanburg South Carolina, dba: Spartanburg Area Regional Transportation System","Spartanburg","SC","40101","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","83548","Spartanburg, SC","196943","8","MB","Bus","DO","8","0.4631",,"0.0411",,"132.7336",,"11.7909",,"11.2573",,"0",,"116725",,"2837313",,"252043",,"21376",,,,"276265",
"Waccamaw Regional Transportation Authority, dba: Coast RTA","Conway","SC","40102","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60895","Myrtle Beach--North Myrtle Beach, SC--NC","298954","36","DR","Demand Response","DO","13","1.5",,"0.0212",,"109.8527",,"1.5504",,"70.8532",,"5.9196",,"43422",,"2051059",,"28948",,"18671",,"346488",,"381975",
"Waccamaw Regional Transportation Authority, dba: Coast RTA","Conway","SC","40102","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60895","Myrtle Beach--North Myrtle Beach, SC--NC","298954","36","MB","Bus","DO","18","0.6891",,"0.0534",,"116.8507",,"9.0563",,"12.9027",,"0","W","372370",,"6972714",,"540407",,"59672",,"0","W","1367155",
"Waccamaw Regional Transportation Authority, dba: Coast RTA","Conway","SC","40102","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60895","Myrtle Beach--North Myrtle Beach, SC--NC","298954","36","VP","Vanpool","PT","5","5.3074",,"0.8069",,"22.9767",,"3.4932",,"6.5775",,"0.1261",,"19133",,"23712",,"3605",,"1032",,"188076",,"45992",
"Southeast Alabama Regional Planning and Development Commission","Dothan","AL","40103","MPO, COG or Other Planning Agency","Reduced Reporter","2024","24472","Dothan, AL","72423","29","DR","Demand Response","DO","13","2.1224",,"0.0918",,"59.3921",,"2.5684",,"23.124",,"0",,"119597",,"1303063",,"56351",,"21940",,,,"237424",
"Southeast Alabama Regional Planning and Development Commission","Dothan","AL","40103","MPO, COG or Other Planning Agency","Reduced Reporter","2024","24472","Dothan, AL","72423","29","DR","Demand Response","PT","9","0",,"0",,"48.6378",,"1.1227",,"43.3209",,"0",,,,"1257823",,"29035",,"25861",,,,"802567",
"Southeast Alabama Regional Planning and Development Commission","Dothan","AL","40103","MPO, COG or Other Planning Agency","Reduced Reporter","2024","24472","Dothan, AL","72423","29","DR","Demand Response","TX","7","0",,"0",,"34.2357",,"1.0004",,"34.2225",,"0",,,,"265669",,"7763",,"7760",,,,"104555",
"Indian River County, dba: GoLine","Vero Beach","FL","40104","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","90406","Vero Beach--Sebastian, FL","174292","26","DR","Demand Response","PT","12","0",,"0",,"142.2606",,"1.639",,"86.7971",,"10.8989",,,,"2329375",,"26837",,"16374",,"213726",,"232884",
"Indian River County, dba: GoLine","Vero Beach","FL","40104","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","90406","Vero Beach--Sebastian, FL","174292","26","MB","Bus","PT","14","0.0006",,"0.0002",,"86.1686",,"25.1993",,"3.4195",,"0.7275",,"819",,"4641729",,"1357438",,"53868",,"6379958",,"991267",
"Puerto Rico Highway and Transportation Authority","San Juan","PR","40105","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","234","PB","Publico","PT","234","3.2787",,"0.9384",,"21.9541",,"6.2838",,"3.4938",,"1.143",,"6070229",,"6468427",,"1851426",,"294634",,"5659324",,"3142858",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Durham","NC","40108","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","25228","Durham, NC","396118","87","DR","Demand Response","DO","15","0",,"0",,"333.8025",,"1.8149",,"183.9217",,"9.1315",,,,"7581989",,"41224",,"22714",,"830309",,"463340",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Durham","NC","40108","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","25228","Durham, NC","396118","87","MB","Bus","DO","43","0",,"0",,"224.9601",,"16.2903",,"13.8095",,"1.7517",,,,"24248224",,"1755915",,"107789",,"13842399",,"2178440",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Durham","NC","40108","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","25228","Durham, NC","396118","87","MB","Bus","PT","6","0",,"0",,"133.1969",,"6.425",,"20.7312",,"1.9496",,,,"904274",,"43619",,"6789",,"463826",,"153906",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Durham","NC","40108","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","25228","Durham, NC","396118","87","VP","Vanpool","PT","23","6.4273",,"0.5663",,"48.8139",,"4.3008",,"11.3501",,"0.269",,"242451",,"428147",,"37722",,"8771",,"1591780",,"396348",
"Charleston Area Regional Transportation Authority","North Charleston","SC","40110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15508","Charleston, SC","684773","96","CB","Commuter Bus","PT","4","1.3436",,"0.1089",,"119.6",,"9.6971",,"12.3336",,"1.0643",,"85903",,"788523",,"63933",,"6593",,"740856",,"141948",
"Charleston Area Regional Transportation Authority","North Charleston","SC","40110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15508","Charleston, SC","684773","96","DR","Demand Response","PT","20","3.5309",,"0.0502",,"126.2452",,"1.7941",,"70.3656",,"8.2027",,"208603",,"4157127",,"59079",,"32929",,"506801",,"519608",
"Charleston Area Regional Transportation Authority","North Charleston","SC","40110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15508","Charleston, SC","684773","96","DR","Demand Response","TN","5","4.4005",,"0.273",,"65.7034",,"4.0764",,"16.1179",,"2.8187",,"121370",,"444549",,"27581",,"6766",,"157715",,"156997",
"Charleston Area Regional Transportation Authority","North Charleston","SC","40110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15508","Charleston, SC","684773","96","MB","Bus","PT","67","1.5758",,"0.1874",,"98.7575",,"11.7413",,"8.4111",,"1.5524",,"3503184",,"18698546",,"2223074",,"189338",,"12045211",,"2416032",
"City of San Juan","San Juan","PR","40112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","19","MB","Bus","DO","19","0",,"0",,"93.8665",,"5.1407",,"18.2595",,"0",,,,"1966316",,"107687",,"20948",,,,"187450",
"Municipality of Aguada","Aguada","PR","40114","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","2","DR","Demand Response","DO","1","0",,"0",,"27.3964",,"0.238",,"115.0909",,"0",,,,"24054",,"209",,"878",,,,"4647",
"Municipality of Aguada","Aguada","PR","40114","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","2","MB","Bus","DO","1","0",,"0",,"19.3583",,"0.3698",,"52.3461",,"0",,,,"21933",,"419",,"1133",,,,"4697",
"Municipality of Caguas","Caguas","PR","40115","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","22","DR","Demand Response","DO","6","0",,"0",,"68.4328",,"0.8536",,"80.1698",,"0",,,,"383292",,"4781",,"5601",,,,"53845",
"Municipality of Caguas","Caguas","PR","40115","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","22","MB","Bus","DO","16","0",,"0",,"85.7411",,"3.0265",,"28.3304",,"0",,,,"1169509",,"41281",,"13640",,,,"170753",
"Municipality of Vega Baja","Vega Baja","PR","40117","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","DR","Demand Response","DO","4","0",,"0",,"109.7218",,"2.7769",,"39.5125",,"0",,"0",,"302942",,"7667",,"2761",,,,"37468",
"Municipality of Vega Baja","Vega Baja","PR","40117","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","MB","Bus","DO","6","0",,"0",,"100.7546",,"7.0027",,"14.3879",,"0",,"0",,"664275",,"46169",,"6593",,,,"89465",
"City of Ocala, Florida, dba: SunTran","Ocala","FL","40120","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","64567","Ocala, FL","182647","7","MB","Bus","PT","7","0.8428",,"0.0515",,"112.8192",,"6.8954",,"16.3615",,"0",,"199887",,"3880415",,"237167",,"34395",,,,"503705",
"Municipality of Hormigueros","Hormigueros","PR","40121","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","5","DR","Demand Response","DO","2","0",,"0",,"71.2515",,"1.1292",,"63.0988",,"0",,"0",,"93197",,"1477",,"1308",,,,"12768",
"Municipality of Hormigueros","Hormigueros","PR","40121","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","5","MB","Bus","DO","3","0",,"0",,"55.6954",,"4.0083",,"13.8951",,"0",,"0",,"154889",,"11147",,"2781",,,,"25283",
"Municipality of Cayey","Cayey","PR","40122","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","DR","Demand Response","DO","4","0",,"0",,"61.0362",,"0.4952",,"123.2434",,"0",,,,"102785",,"834",,"1684",,,,"21563",
"Municipality of Cayey","Cayey","PR","40122","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","MB","Bus","DO","3","0",,"0",,"98.7332",,"19.4437",,"5.0779",,"0",,,,"161330",,"31771",,"1634",,,,"11123",
"Municipality of Gurabo","Gurabo","PR","40123","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","DR","Demand Response","DO","1","0",,"0",,"41.9902",,"1.0735",,"39.1142",,"0",,,,"68528",,"1752",,"1632",,,,"10860",
"Municipality of Gurabo","Gurabo","PR","40123","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","MB","Bus","DO","3","0",,"0",,"72.8619",,"3.1851",,"22.8758",,"0",,,,"175160",,"7657",,"2404",,,,"28140",
"Municipality of Cidra","Cidra","PR","40124","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","DR","Demand Response","DO","3","0",,"0",,"65.2768",,"2.1297",,"30.651",,"0",,,,"101179",,"3301",,"1550",,,,"33200",
"Municipality of Cidra","Cidra","PR","40124","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","MB","Bus","DO","4","0",,"0",,"69.2041",,"12.8919",,"5.368",,"0",,,,"102422",,"19080",,"1480",,,,"16650",
"Municipality of Carolina, dba: Gobierno Municipal Autonomo de Carolina","Carolina","PR","40125","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","24","DR","Demand Response","DO","2","0",,"0",,"48.0964",,"0.2782",,"172.8977",,"0",,"0",,"126734",,"733",,"2635",,,,"22443",
"Municipality of Carolina, dba: Gobierno Municipal Autonomo de Carolina","Carolina","PR","40125","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","24","MB","Bus","DO","22","0",,"0",,"66.1269",,"6.9292",,"9.5432",,"0",,"0",,"2384337",,"249846",,"36057",,,,"373804",
